invoiceNo,channel,saleDate,totalAmount,paymentStatus,notes,createdAt,itemCount,totalQuantity,items
INV-0366,October,2026-06-27,110,paid,,2026-06-27T19:50:01.995Z,1,1,"[{""productName"":""Fantasy"",""productSKU"":""Fant"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0365,October,2026-06-27,150,paid,,2026-06-27T19:50:01.733Z,1,1,"[{""productName"":""Pure Seduction"",""productSKU"":""PuSD"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0364,October,2026-06-27,110,paid,,2026-06-27T19:50:01.479Z,1,1,"[{""productName"":""LOST Cherry"",""productSKU"":""LostChe"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0363,October,2026-06-27,120,paid,,2026-06-27T19:50:01.231Z,1,1,"[{""productName"":""Paris Hilton"",""productSKU"":""ParHil"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0362,October,2026-06-27,250,paid,,2026-06-27T19:50:00.809Z,1,1,"[{""productName"":""Good Girl Spray"",""productSKU"":""GooGir_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0361,October,2026-06-27,270,paid,,2026-06-27T19:50:00.348Z,1,1,"[{""productName"":""Fantasy Spray"",""productSKU"":""Fant_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":270,""totalPrice"":270,""productType"":""spray""}]"
INV-0360,October,2026-06-27,150,paid,,2026-06-27T19:49:59.994Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0359,October,2026-06-27,300,paid,,2026-06-27T19:49:59.741Z,1,1,"[{""productName"":""Diptyque tam dao"",""productSKU"":""DipTam"",""sizeMl"":6,""quantity"":1,""unitPrice"":300,""totalPrice"":300,""productType"":""roll-on""}]"
INV-0358,October,2026-06-27,800,paid,,2026-06-27T19:49:59.331Z,1,1,"[{""productName"":""Luxe Special Spray"",""productSKU"":""LUXE1_SP"",""sizeMl"":15,""quantity"":1,""unitPrice"":800,""totalPrice"":800,""productType"":""spray""}]"
INV-0357,October,2026-06-27,160,paid,,2026-06-27T19:49:59.074Z,1,1,"[{""productName"":""Dunhill Icon"",""productSKU"":""DunIco"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":160,""totalPrice"":160,""productType"":""roll-on""}]"
INV-0356,October,2026-06-27,160,paid,,2026-06-27T19:49:58.821Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":160,""totalPrice"":160,""productType"":""roll-on""}]"
INV-0355,October,2026-06-27,250,paid,,2026-06-27T19:49:58.569Z,1,1,"[{""productName"":""Baccarat rouge"",""productSKU"":""BacRou"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0354,October,2026-06-27,230,paid,,2026-06-27T19:49:58.316Z,1,1,"[{""productName"":""Ameer Al oud"",""productSKU"":""AmeOud"",""sizeMl"":6,""quantity"":1,""unitPrice"":230,""totalPrice"":230,""productType"":""roll-on""}]"
INV-0353,October,2026-06-27,240,paid,,2026-06-27T19:49:58.062Z,1,1,"[{""productName"":""Red Tobaco"",""productSKU"":""RedTob"",""sizeMl"":6,""quantity"":1,""unitPrice"":240,""totalPrice"":240,""productType"":""roll-on""}]"
INV-0352,October,2026-06-27,170,paid,,2026-06-27T19:49:57.809Z,1,1,"[{""productName"":""Dunhill Icon"",""productSKU"":""DunIco"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":170,""totalPrice"":170,""productType"":""roll-on""}]"
INV-0351,October,2026-06-27,120,paid,,2026-06-27T19:49:57.552Z,1,1,"[{""productName"":""CK-1"",""productSKU"":""CK1"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0350,October,2026-06-27,170,paid,,2026-06-27T19:49:57.287Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":170,""totalPrice"":170,""productType"":""roll-on""}]"
INV-0349,October,2026-06-27,160,paid,,2026-06-27T19:49:57.034Z,1,1,"[{""productName"":""Diptyque tam dao"",""productSKU"":""DipTam"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":160,""totalPrice"":160,""productType"":""roll-on""}]"
INV-0348,October,2026-06-27,120,paid,,2026-06-27T19:49:56.787Z,1,1,"[{""productName"":""Davidoff Cool Water"",""productSKU"":""DavCoo"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0347,October,2026-06-27,140,paid,,2026-06-27T19:49:56.534Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":140,""totalPrice"":140,""productType"":""roll-on""}]"
INV-0346,October,2026-06-27,150,paid,,2026-06-27T19:49:56.281Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0345,October,2026-06-27,250,paid,,2026-06-27T19:49:56.033Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0344,October,2026-06-27,100,paid,,2026-06-27T19:49:55.787Z,1,1,"[{""productName"":""Blue de Chanel"",""productSKU"":""BluCha"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0343,October,2026-06-27,100,paid,,2026-06-27T19:49:55.543Z,1,1,"[{""productName"":""Aqua DI Gio"",""productSKU"":""AquGio"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0342,October,2026-06-27,100,paid,,2026-06-27T19:49:55.295Z,1,1,"[{""productName"":""Dunhil desire"",""productSKU"":""DunDes"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0341,October,2026-06-27,100,paid,,2026-06-27T19:49:55.050Z,1,1,"[{""productName"":""Red Tobaco"",""productSKU"":""RedTob"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0340,October,2026-06-27,150,paid,,2026-06-27T19:49:54.801Z,1,1,"[{""productName"":""Diptyque tam dao"",""productSKU"":""DipTam"",""sizeMl"":6,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0339,October,2026-06-27,150,paid,,2026-06-27T19:49:54.541Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":6,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0338,October,2026-06-27,100,paid,,2026-06-27T19:49:54.299Z,1,1,"[{""productName"":""Dunhil desire"",""productSKU"":""DunDes"",""sizeMl"":6,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0337,October,2026-06-27,120,paid,,2026-06-27T19:49:54.054Z,1,1,"[{""productName"":""Creed Aventus"",""productSKU"":""CreAve"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0336,October,2026-06-27,120,paid,,2026-06-27T19:49:53.808Z,1,1,"[{""productName"":""Armanis.w.y"",""productSKU"":""ArmWy"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0335,October,2026-06-27,250,paid,,2026-06-27T19:49:53.400Z,1,1,"[{""productName"":""LOST Cherry Spray"",""productSKU"":""LostChe_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0334,September,2026-06-27,65,paid,,2026-06-27T19:49:53.152Z,1,1,"[{""productName"":""Good Girl"",""productSKU"":""GooGir"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":65,""totalPrice"":65,""productType"":""roll-on""}]"
INV-0333,September,2026-06-27,55,paid,,2026-06-27T19:49:52.901Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":55,""totalPrice"":55,""productType"":""roll-on""}]"
INV-0332,September,2026-06-27,320,paid,,2026-06-27T19:49:52.492Z,1,1,"[{""productName"":""victoriya secret Spray"",""productSKU"":""VicSec_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":320,""totalPrice"":320,""productType"":""spray""}]"
INV-0331,September,2026-06-27,120,paid,,2026-06-27T19:49:52.241Z,1,1,"[{""productName"":""Davidoff Cool Water"",""productSKU"":""DavCoo"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0330,September,2026-06-27,150,paid,,2026-06-27T19:49:51.984Z,1,1,"[{""productName"":""Blue de Chanel"",""productSKU"":""BluCha"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0329,September,2026-06-27,250,paid,,2026-06-27T19:49:51.573Z,1,1,"[{""productName"":""Dior Sauvage Spray"",""productSKU"":""DioSau_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0328,September,2026-06-27,140,paid,,2026-06-27T19:49:51.321Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":140,""totalPrice"":140,""productType"":""roll-on""}]"
INV-0327,September,2026-06-27,120,paid,,2026-06-27T19:49:51.047Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0326,September,2026-06-27,350,paid,,2026-06-27T19:49:50.624Z,1,1,"[{""productName"":""Luxe Special Spray"",""productSKU"":""LUXE1_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":350,""totalPrice"":350,""productType"":""spray""}]"
INV-0325,September,2026-06-27,130,paid,,2026-06-27T19:49:50.368Z,1,1,"[{""productName"":""Paris Hilton"",""productSKU"":""ParHil"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":130,""totalPrice"":130,""productType"":""roll-on""}]"
INV-0324,September,2026-06-27,150,paid,,2026-06-27T19:49:50.111Z,1,1,"[{""productName"":""Aqua DI Gio"",""productSKU"":""AquGio"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0323,September,2026-06-27,150,paid,,2026-06-27T19:49:49.850Z,1,1,"[{""productName"":""victoriya secret"",""productSKU"":""VicSec"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0322,September,2026-06-27,150,paid,,2026-06-27T19:49:49.599Z,1,1,"[{""productName"":""victoriya secret"",""productSKU"":""VicSec"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0321,September,2026-06-27,120,paid,,2026-06-27T19:49:49.351Z,1,1,"[{""productName"":""Fantasy"",""productSKU"":""Fant"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0320,September,2026-06-27,170,paid,,2026-06-27T19:49:49.101Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":170,""totalPrice"":170,""productType"":""roll-on""}]"
INV-0319,September,2026-06-27,120,paid,,2026-06-27T19:49:48.732Z,1,1,"[{""productName"":""Blue berry"",""productSKU"":""BluBer"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0318,September,2026-06-27,170,paid,,2026-06-27T19:49:48.474Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":170,""totalPrice"":170,""productType"":""roll-on""}]"
INV-0317,September,2026-06-27,120,paid,,2026-06-27T19:49:48.188Z,1,1,"[{""productName"":""Red Tobaco"",""productSKU"":""RedTob"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0316,September,2026-06-27,250,paid,,2026-06-27T19:49:47.932Z,1,1,"[{""productName"":""Vanila"",""productSKU"":""Vanil"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0315,September,2026-06-27,100,paid,,2026-06-27T19:49:47.679Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0314,September,2026-06-27,310,paid,,2026-06-27T19:49:47.281Z,1,1,"[{""productName"":""victoriya secret Spray"",""productSKU"":""VicSec_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":310,""totalPrice"":310,""productType"":""spray""}]"
INV-0313,September,2026-06-27,310,paid,,2026-06-27T19:49:46.874Z,1,1,"[{""productName"":""Good Girl Spray"",""productSKU"":""GooGir_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":310,""totalPrice"":310,""productType"":""spray""}]"
INV-0312,September,2026-06-27,250,paid,,2026-06-27T19:49:46.620Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0311,September,2026-06-27,250,paid,,2026-06-27T19:49:46.366Z,1,1,"[{""productName"":""Dunhil desire"",""productSKU"":""DunDes"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0310,September,2026-06-27,250,paid,,2026-06-27T19:49:46.113Z,1,1,"[{""productName"":""Fantasy"",""productSKU"":""Fant"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0309,September,2026-06-27,150,paid,,2026-06-27T19:49:45.854Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0308,September,2026-06-27,150,paid,,2026-06-27T19:49:45.605Z,1,1,"[{""productName"":""Blue de Chanel"",""productSKU"":""BluCha"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0307,September,2026-06-27,110,paid,,2026-06-27T19:49:45.351Z,1,1,"[{""productName"":""CK-1"",""productSKU"":""CK1"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0306,September,2026-06-27,110,paid,,2026-06-27T19:49:45.100Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0305,September,2026-06-27,110,paid,,2026-06-27T19:49:44.838Z,1,1,"[{""productName"":""Armanis.w.y"",""productSKU"":""ArmWy"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0304,September,2026-06-27,110,paid,,2026-06-27T19:49:44.586Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0303,September,2026-06-27,110,paid,,2026-06-27T19:49:44.331Z,1,1,"[{""productName"":""Dunhil desire"",""productSKU"":""DunDes"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0302,September,2026-06-27,110,paid,,2026-06-27T19:49:44.079Z,1,1,"[{""productName"":""Creed Aventus"",""productSKU"":""CreAve"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0301,September,2026-06-27,110,paid,,2026-06-27T19:49:43.813Z,1,1,"[{""productName"":""Davidoff Cool Water"",""productSKU"":""DavCoo"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0300,September,2026-06-27,170,paid,,2026-06-27T19:49:43.561Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":170,""totalPrice"":170,""productType"":""roll-on""}]"
INV-0299,September,2026-06-27,110,paid,,2026-06-27T19:49:43.308Z,1,1,"[{""productName"":""Blue berry"",""productSKU"":""BluBer"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0298,September,2026-06-27,100,paid,,2026-06-27T19:49:43.044Z,1,1,"[{""productName"":""Gucci Flora"",""productSKU"":""GucFla"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0297,September,2026-06-27,100,paid,,2026-06-27T19:49:42.788Z,1,1,"[{""productName"":""Blue berry"",""productSKU"":""BluBer"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0296,September,2026-06-27,100,paid,,2026-06-27T19:49:42.540Z,1,1,"[{""productName"":""Fantasy"",""productSKU"":""Fant"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0295,September,2026-06-27,100,paid,,2026-06-27T19:49:42.290Z,1,1,"[{""productName"":""LOST Cherry"",""productSKU"":""LostChe"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0294,September,2026-06-27,100,paid,,2026-06-27T19:49:42.038Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0293,September,2026-06-27,150,paid,,2026-06-27T19:49:41.788Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0292,September,2026-06-27,150,paid,,2026-06-27T19:49:41.541Z,1,1,"[{""productName"":""Blue de Chanel"",""productSKU"":""BluCha"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0291,September,2026-06-27,110,paid,,2026-06-27T19:49:41.280Z,1,1,"[{""productName"":""CK-1"",""productSKU"":""CK1"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0290,September,2026-06-27,110,paid,,2026-06-27T19:49:41.027Z,1,1,"[{""productName"":""CK-1"",""productSKU"":""CK1"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0289,September,2026-06-27,110,paid,,2026-06-27T19:49:40.774Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0288,September,2026-06-27,110,paid,,2026-06-27T19:49:40.525Z,1,1,"[{""productName"":""Armanis.w.y"",""productSKU"":""ArmWy"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0287,September,2026-06-27,110,paid,,2026-06-27T19:49:40.274Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0286,September,2026-06-27,110,paid,,2026-06-27T19:49:40.017Z,1,1,"[{""productName"":""Dunhil desire"",""productSKU"":""DunDes"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0285,September,2026-06-27,110,paid,,2026-06-27T19:49:39.765Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0284,September,2026-06-27,110,paid,,2026-06-27T19:49:39.510Z,1,1,"[{""productName"":""Armanis.w.y"",""productSKU"":""ArmWy"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0283,September,2026-06-27,110,paid,,2026-06-27T19:49:39.257Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0282,September,2026-06-27,110,paid,,2026-06-27T19:49:39.008Z,1,1,"[{""productName"":""Dunhil desire"",""productSKU"":""DunDes"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0281,September,2026-06-27,230,paid,,2026-06-27T19:49:38.753Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":6,""quantity"":1,""unitPrice"":230,""totalPrice"":230,""productType"":""roll-on""}]"
INV-0280,September,2026-06-27,600,paid,,2026-06-27T19:49:38.337Z,1,1,"[{""productName"":""Davidoff Cool Water Spray"",""productSKU"":""DavCoo_SP"",""sizeMl"":15,""quantity"":1,""unitPrice"":600,""totalPrice"":600,""productType"":""spray""}]"
INV-0279,September,2026-06-27,600,paid,,2026-06-27T19:49:38.081Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":15,""quantity"":1,""unitPrice"":600,""totalPrice"":600,""productType"":""roll-on""}]"
INV-0278,August,2026-06-27,250,paid,,2026-06-27T19:49:37.815Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0277,August,2026-06-27,150,paid,,2026-06-27T19:49:37.443Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0276,August,2026-06-27,310,paid,,2026-06-27T19:49:37.007Z,1,1,"[{""productName"":""Good Girl Spray"",""productSKU"":""GooGir_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":310,""totalPrice"":310,""productType"":""spray""}]"
INV-0275,August,2026-06-27,300,paid,,2026-06-27T19:49:36.591Z,1,1,"[{""productName"":""Gucci Flora Spray"",""productSKU"":""GucFla_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":300,""totalPrice"":300,""productType"":""spray""}]"
INV-0274,August,2026-06-27,320,paid,,2026-06-27T19:49:36.340Z,1,1,"[{""productName"":""SRK"",""productSKU"":""SR2"",""sizeMl"":6,""quantity"":1,""unitPrice"":320,""totalPrice"":320,""productType"":""roll-on""}]"
INV-0273,August,2026-06-27,150,paid,,2026-06-27T19:49:36.086Z,1,1,"[{""productName"":""victoriya secret"",""productSKU"":""VicSec"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0272,August,2026-06-27,120,paid,,2026-06-27T19:49:35.834Z,1,1,"[{""productName"":""LOST Cherry"",""productSKU"":""LostChe"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0271,August,2026-06-27,120,paid,,2026-06-27T19:49:35.582Z,1,1,"[{""productName"":""Creed Aventus"",""productSKU"":""CreAve"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0270,August,2026-06-27,120,paid,,2026-06-27T19:49:35.329Z,1,1,"[{""productName"":""Dunhil desire"",""productSKU"":""DunDes"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":120,""totalPrice"":120,""productType"":""roll-on""}]"
INV-0269,August,2026-06-27,330,paid,,2026-06-27T19:49:34.922Z,1,1,"[{""productName"":""Good Girl Spray"",""productSKU"":""GooGir_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":330,""totalPrice"":330,""productType"":""spray""}]"
INV-0268,August,2026-06-27,110,paid,,2026-06-27T19:49:34.667Z,1,1,"[{""productName"":""Blue berry"",""productSKU"":""BluBer"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0267,August,2026-06-27,110,paid,,2026-06-27T19:49:34.417Z,1,1,"[{""productName"":""Davidoff Cool Water"",""productSKU"":""DavCoo"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0266,August,2026-06-27,160,paid,,2026-06-27T19:49:34.156Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":160,""totalPrice"":160,""productType"":""roll-on""}]"
INV-0265,August,2026-06-27,100,paid,,2026-06-27T19:49:33.904Z,1,1,"[{""productName"":""Blue berry"",""productSKU"":""BluBer"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0264,August,2026-06-27,140,paid,,2026-06-27T19:49:33.653Z,1,1,"[{""productName"":""Blue de Chanel"",""productSKU"":""BluCha"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":140,""totalPrice"":140,""productType"":""roll-on""}]"
INV-0263,August,2026-06-27,140,paid,,2026-06-27T19:49:33.391Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":140,""totalPrice"":140,""productType"":""roll-on""}]"
INV-0262,August,2026-06-27,110,paid,,2026-06-27T19:49:33.140Z,1,1,"[{""productName"":""Armanis.w.y"",""productSKU"":""ArmWy"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0261,August,2026-06-27,110,paid,,2026-06-27T19:49:32.890Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":110,""totalPrice"":110,""productType"":""roll-on""}]"
INV-0260,August,2026-06-27,140,paid,,2026-06-27T19:49:32.640Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":140,""totalPrice"":140,""productType"":""roll-on""}]"
INV-0259,August,2026-06-27,140,paid,,2026-06-27T19:49:32.372Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":140,""totalPrice"":140,""productType"":""roll-on""}]"
